"Taxa"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_2"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.004	0.00325	0.001	0.00225	0.01325	0.00325	0.005	0.00025	0.00025	0.014	0.00575	0.00375	0.006	0.00075	0.007	0.0125	5e-04	0.00225	0.00025	0.00525	0.003	0.00125	0.00175	0.001	0.001	0.01225	0.01075	0.00125	0.02275	0.00075	0.03475	0.00125	0.0175	0	0.00325	0.00025	0.01325	0.00025	0.00075	0	0.000625	0.00725	0.01025	0.002	0.019	0.006	0.0115	0.016	0.0135	0.00325	0.0015	0.003	5e-04	0.0055	0.03575	0.00225	0.008	0.00025	0.003	0.0095	0.002	0.032	0.00075	0.005	0.0045	0.0025	0.01125	0.0025	0.00025	0.002	0.0055	0	0.04925	0.00075	0.00125	0.002	0.00075	0.0025	0.00525	0.00125	0.00275	0.00075	0.00775	0.00075	0.02425	0.0015	0.001	0.0035	0.00025	0.001	0.004	0.0095	0.02075	0.00075	0.00975	0.00075	0.00275	0	0.01175	0.002	0.00025	0.09575	0.01075	0.00475	0.0025	0.0045	0.003	0.001	0.007	0.00075	0.00075	0.00075	5e-04	5e-04	0.00025	0.0025	0.0625	0.027	0.00225	0.001375	5e-04	0.002	5e-04	0.00025	0.00525	0.01475	0.00525
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales"	0	0	0	0	0.19	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10425	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales"	5e-04	0.00125	0.00525	0	0	0.00075	0	0.01025	5e-04	0.00425	0.0025	0	0.00975	0	0.00475	5e-04	0.00175	0	0	0	0.00025	5e-04	0	0.00025	0.00025	0.00275	0.009625	0.00075	0.00075	0.00025	0.00125	0.00025	0.00375	0	0	0.00075	0	0	0.00025	0	0.00025	0	5e-04	0	0.001	5e-04	0.00025	0.00975	0	0.000125	0	0.00025	0.00075	0	0.002	0.00025	0	0	0	0	0.00025	0.00025	0.00025	0.0035	0	5e-04	0.00075	0	0	0.00025	0	0	0.004	0.00125	0.0025	0	0.16075	0.001	0	0	5e-04	0.003	0.00075	0.0025	0.00475	0.00075	0.002	0.00025	0.00025	5e-04	0.00075	0.004	5e-04	0.00025	5e-04	0.00075	0.00025	0	0.00375	0.00025	0	0.0035	0.001375	0.002	0.00075	5e-04	0	0.002	0.00075	0	0.00025	0.0025	0.00125	0.00025	0	5e-04	0.006	0	0	0.000625	0.0025	0	0.003	0.00025	0	0.000875	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0.00225	0.00175	0	0	0.00075	0.023	0.0535	0.00025	0.02125	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01825	0.027	0.00075	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales"	0	0.00025	0	0	0	0.0015	0.00025	0.00525	5e-04	0.00125	0.0105	0	0.027	0.001	5e-04	0.00025	0.00075	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00025	0	0	0	0.00025	0	0	0.00075	0	0.00025	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0.00075	0	5e-04	0.00025	0.00025	0	0	0	0	0	0.00725	0.00625	0	0	0	0	0	0.00025	0	0.00075	0.00025	0	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0	0	0.0015	0	0	0	0	0.004	5e-04	0.00025	0	0	0	0	0	0	5e-04	0	0.00025	0	0	0	0	0.00225	0	0	0.00025	0	0	0.000375	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales"	0.00025	0.00025	0	0	0	0	0	0	0	0.001	0.00025	0	0.00025	0	0.00075	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0.003375	0	0.00025	0	5e-04	0	0.00025	0	0	5e-04	0	0	0.00025	0	0	0	0.00025	0	0	0	0	0.02525	0	5e-04	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0.00025	0	0	0	0	0.001	0	5e-04	0	0	0	0	0	0	0	0	0.00025	0.00075	0	0	0.00025	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0	0	0.00025	0.000125	0	0	0	0	0	0.00025	0	0	5e-04	0.00025	0	0	0	0.0015	0	0	0.000125	0	0	0	0	0	5e-04	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales"	0	0	0	0	0	0	0.00025	0	0	0	0.0065	0	0.00275	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	5e-04	0	0	0	0.00025	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0.00125	0	0	0	0	0	0	0.00075	0	0	0	0	0	0.002	0	0	0.00125	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.00025	0	0	0	0	0	0.00025	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales"	0	0	0.00825	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00125	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0.00075	0.00025	0	0.00075	0	0	0	0	0	0	0.00025	5e-04	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0.00025	5e-04	0	0	0	0	0	0	0.00025	0.001	0	0.00025	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.000375	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0.00025	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.00025	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales"	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales"	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125	0	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
